Character Name,Nationality,Ethnicity,Age,Born,Died,Eye color,Hair color,Skin color,Pronouns,Allies,Enemies,Weapon of choice,Profession,Position,Affiliation,First appearance,Last appearance,Voiced by
Lian,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"Bumi's advisor,Yuan,Hiryu, UnnamedFire Nationsoldier","Aang,Katara,Sokka,Momo,Haru,jailer, Fire Nation",Earth,Machine builder,N/A,N/A,Avatar: The Last Airbender(video game)(only appearance),N/A,Gwendoline Yeo
Lian and Shen,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,They/them,Aang,N/A,Fire,N/A,N/A,N/A,Imbalance Part One,Imbalance Part Two,N/A
Lieutenant,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Light blue,Black,Light,He/him,"Equalists,Hiroshi Sato","Amon,benders,Lin Beifong,Metalbending Police Force,Saikhan,Tarrlok,Team Avatar,Tenzinand his family,United Forces,United Republic Council,White Lotus sentries",Electrified kali sticks,Equalist,Lieutenant,Equalists,"""Welcome to Republic City""","""Remembrances""(flashback only)",Lance Henriksen
Light spirit,Spirit World,Spirits,N/A,N/A,N/A,White,Green,Yellow,It/its,"Spirits,Jinora,Korra",N/A,N/A,N/A,Spirit,Spirit World,"""A Breath of Fresh Air""","""Operation Beifong""",Morgan Gingerich(as a spirit)Dee Bradley Baker(as a puppy)
Lightning Bolt Zolt,"Republic City,United Republic",Fire Nation,48,119AG,N/A,Amber,Gray with white streaks,Light,He/him,Triple Threat Triad,"Amon,Equalists,Red Monsoon Triad,Agni Kai Triad,Metalbending Police Force",Fire,Mobster,Leader of the Triple Threat Triad(formerly)Upper-class United Republiccitizen,Triple Threat Triad,"""The Revelation""","""Remembrances""(flashback only)",Kevin Michael Richardson
Lihua,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,Between 95 and 100AG[nb 1],N/A,Bronze,Brown,Light,She/her,"Kiyi,Guri,Tom-Tom,Ukano,Team Avatar,Mai,Kei Lo","Fire Warriors,New Ozai Society",Fire,N/A,N/A,Royal Fire Academy for Girls,Smoke and Shadow Part Two,Ashes of the Academy,N/A
Liling,NorthwesternEarth Kingdom,Earth Kingdom,N/A,N/A,N/A,Gray,Brown,Light,She/her,Bendingsupremacists of Cranefish Town,"Team Avatar,Lao Beifong,Ru, non-bending factory owners of Cranefish Town",Earth,Factory owner,Council member(formerly)Leading bending supremacist in Cranefish Town(formerly)Cranefish Town prisoner,Cranefish Town Business CouncilBending supremacists,Imbalance Part One,Imbalance Part Three,N/A
Lily,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"Nomads,Team Avatar",N/A,Earth,Entertainer,Nomad,Trustfully in Love(formerly),"""The Cave of Two Lovers""",Toph Beifong's Metalbending Academy,Laraine Newman
Lin Beifong,"Republic City,United Republic",Earth Kingdom,50,120AG,N/A,Pale green,Gray,Light,She/her,"Team Avatar, Tenzin and his family,Aang,Metalbending Police Force, Saikhan,Song,Raiko,Zuko,Tonraq, more ...","Terra Triad,Triple Threat Triad,Agni Kai Triad,Red Monsoon Triad,Amon,Equalists,Lieutenant,Tarrlok,Unalaq,Red Lotus, more ...",Earth,Police officerVigilante(formerly),Chief of PoliceEarthbending masterMetalbending master,Beifong familyRepublic City Police Department,"""Welcome to Republic City""",Avatar Legends: The Roleplaying Game-Republic City,Mindy SterlingGrey DeLisle(young Lin)
Lin Yee,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,He/him,Jeong Jeong,"Fire Nation,Zhao",Earth,N/A,Tribal chief,N/A,"""The Deserter""(only appearance)",N/A,James Sie
Ling and Bak,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,They/them,Rhee,N/A,Earth,Bureaucrats,Chief Magistrates ofGaolingGubernatorial candidates for theState of Gaoling(formerly),State of GaolingEarth Kingdom,Ruins of the Empire Part One(only appearance),N/A,N/A
Lirin,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Gilak,Thodandhis disciples, Southern Water Tribe nationalists","Hakoda,Team Avatar,Maliq,Malina,Northern Water Tribe,Fire Nation,Earth KingKuei",Water,Military officerPrison guard,N/A,Southern Water Tribe,North and South Part Two,North and South Part Three,N/A
Liva,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,Fire Nation,Sun Po,Fire,Merchant,High classFire Nation citizen,Fire Nation,Avatar Legends: The Roleplaying Game-Quickstart(only appearance),N/A,N/A
Lo and Li,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,White,Light,She/her,"Zuko,Mai,Ty Lee, Fire Nation",N/A,Fire,FirebendinginstructorsPolitical advisers,N/A,Fire NationFire Nation Royal Family,"""The Avatar State""",Azula in the Spirit Temple(dream),Takayo Fischer
Loban,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,"Satoru,Lao Beifong,Rough Rhinos",General Old Iron,Fire,N/A,Air Acolyte[2]Founder and chief executive officer of theEarthen Fire Refinery(formerly),Air Acolytes[2]Earthen Fire Industries(formerly),The Rift Part One,The Rift Part Three,N/A
Lohi,"Ma'inka Island,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,N/A,Dark spirits,Fire,Nobleman,EarlHeir to theSaowon clan,Saowon clan,"""Legitimate Business""","""The Dispute""",N/A
Lokai,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Gray,Light,She/her,"Onku,Juno,Team Avatar",N/A,Earth,Orphan caretaker,Founder ofGrandma Lokai's Earth Orphanage,Earth Kingdom,"""Divided We Fall""(only appearance)",N/A,N/A
Long Feng,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Jade green,Black,Pale,He/him,Yanran,"Team Avatar,Azula,Jet,Kuei, Earth Kingdom, theDai Li, more ...",Earth,Government official(formerly),Earthbending masterCultural minister(formerly)Grand Secretariat of Ba Sing Se(formerly)Head of the Dai Li(formerly),Ba Sing Se(formerly)Dai Li(formerly),"""City of Walls and Secrets""",Avatar: Generations,Clancy Brown(inAvatar: The Last Airbender)Michael Braun(inQuest for Balance)
Longshot,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,"Freedom Fighters, Earth Kingdom,Team Avatar,Earth KingKuei, more ...","Fire Nation,Long Feng, theDai Li,Yu Dao Resistance,Kori Morishita",Earth,Freedom Fighter,Archer,Earth KingdomFreedom Fighters,"""Jet""",The Promise Part Three,Marc Donato
Lowly guard,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,Fire Nation,Sokka,Fire,Prison guardGondola guard(formerly),Guard at theBoiling Rock,Boiling RockDomestic Forces,"""The Boiling Rock, Part 2""(only appearance)",N/A,N/A
Lu Beifong,"Gaoling,Earth Kingdom",Earth Kingdom,N/A,N/A,295BG,Green,Black,Tan,He/him,"Earth Kingdom,Hui,Jianzhu,Shing",Yun,Earth,Earth SageEarthbending instructorPoliticianBanker,Beifong familypatriarchEarthbending master,Beifong familyEarth Kingdom,"""Obligations""","""The Crash""",N/A
Lu Ten,"Fire Nation Capital,Fire Nation",Fire Nation,22,N/A,95AG,Brown,Black,Light,He/him,"Fire Nation,Fire Nation military,Jasmine Island protectors","Earth Kingdom, Yueya",Fire,Soldier,Prince of the Fire NationCaptain,Fire NationFire Nation Royal FamilyFire Nation military,"""Bitter Work""(flashback only)",Uncle Iroh's Adventure Guide,Mae Whitman(young Lu Ten)
Luumi,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Dark brown,Dark brown,Tan,They/them,Team Avatar,Bandits,Earth,N/A,N/A,N/A,"""Lost and Found""(only appearance)",N/A,N/A
Macao and Lily,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,They/them,Bolin,N/A,Earth,N/A,N/A,N/A,"""The Stakeout""(only appearance)",N/A,Matthew Willig(Macao)Grey DeLisle(Lily)
Macmu-Ling,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,Five-Seven-Five Society,Sokka,Earth,Haiku teacher,Head of the Five-Seven-Five SocietyHaiku master,Earth KingdomFive-Seven-Five Society,"""The Tales of Ba Sing Se""(only appearance)",N/A,Melinda Clarke
Mai,Fire Nation,Fire Nation,15,85AG,N/A,Tawny,Black,Light,She/her,"Ty Lee,Team Avatar,Kyoshi Warriors, Kei Lo, more ...","Azula,Ukano,New Ozai Society,Fire Warriors, more ...",Fire,Teacher[7]Flower shop assistant(formerly),Girlfriend to the Fire Lord(formerly)Governor's daughter(formerly)High class Fire Nation citizenImprisoned Fire Nation traitor(amnestied),Azula's team(formerly)Fire NationRoyal Fire Academy for Girls,"""Return to Omashu""",Ashes of the Academy,Cricket Leigh
Mak,Fire Nation,Fire Nation,N/A,N/A,N/A,Gray,Blackish brown,Light,He/him,"Fire LordZuko,Fire Nation military",Safe Nation Society,Fire,Military official,GeneralMilitary advisor to the Fire Lord,Fire NationFire Army,The Promise Part Two,Smoke and Shadow Part Three,N/A
Makittuq,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Brown,Brown,She/her,N/A,N/A,Water,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Mako,"Republic City,United Republic",Earth Kingdom-Fire Nation,15,152AG,N/A,Tangerine,Black,Light,He/him,"Team Avatar,Toza,Tenzinand his family,Lin Beifong,Tarrlok,Gommu,Iroh,Skoochy,Tonraq,Varrick,Suyin Beifong,Kai,Wu, more ...","Amon,Equalists,Unalaq,Dai Li,Red Lotus,Earth Empire, more ...",Fire,"Police officer[7]Police detective[8]Pro-bender(formerly)Power plantworker(formerly)Soldier(brainwashed, formerly)","Detective[10]Fire Ferrets' firebender and captain(formerly)Private in the military of the Earth Empire(brainwashed, formerly)Wu's bodyguard(formerly)","Fire Ferrets(formerly)Guan's army(brainwashed, formerly)Republic City PoliceRepublic City power plant(formerly)Team AvatarTriple Threat Triad(formerly)","""A Leaf in the Wind""",Mystery of Penquan Island,David Faustino
Malaya,Lambak Island,Lambak clan,16,82BG,66 BG,Amber,Black,Tan,She/her,"Kilat,Gyatso,Roku","Amihan, Ulo,Sozin","Bow, knife",Scout,N/A,Lambak clan,"""Knowledge to Destroy""","""Her Final Act""",N/A
Malina,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Reddish-brown,Brown,She/her,"Hakoda,Team Avatar, Southern Water Tribe,Fire LordZuko,Earth KingKuei","Gilak, Gilak's followers",Water,ArchitectEngineer,Leader of theSouthern Reconstruction Project,Southern Water Tribe,North and South Part One,North and South Part Three,N/A
Maliq,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,Hakoda,"Gilak,Southern Water Tribenationalists",Water,ArchitectEngineer,Exchange student(formerly)Leader of theSouthern Reconstruction Project(formerly),Ba Sing Se University[1](formerly)Northern Water Tribe,North and South Part One,North and South Part Two,N/A
Malu,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,Fire Nation,N/A,Fire,Magician,N/A,Fire Nation,"""The Deserter""(only appearance)",N/A,Scott Menville
Malu (airbender),Eastern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,Black,Light,She/her,Air Nomads,Fire Nation,Air,N/A,N/A,N/A,Avatar: The Last AirbenderTrading Card Game(only appearance),N/A,N/A
Maly,Foggy Swamp Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,He/him,N/A,N/A,Water,AutomobileracerMercenaryMobster,Leader of theSpider Cat Triad,Spider Cat Triad,Avatar Legends: The Roleplaying Game-Republic City(only appearance),N/A,N/A
Mamamaril,Lambak Island,Lambak clan,N/A,N/A,N/A,Brown,Black,Brown,She/her,"Amihan, Kamao","Gyatso,Malaya","Bow, spear",Hunter,N/A,Lambak clan,"""Knowledge to Destroy""","""The Teeth of the Trap""",N/A
Mamnguqsualuq,Southern Water Tribe,Water Tribe,80,N/A,N/A,Blue,White,Brown,She/her,N/A,N/A,Water,Scout(formerly),Community leader,Southern Water Tribe,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Mamushi,Fire Nation,Fire Nation,N/A,N/A,N/A,Amber gold,Brown,Light,She/her,"Fire Nation military,Masaru,Mongke","Team Avatar,Earth Kingdom,Kiwaq",Fire,Military officer,Commander[2]Firebending master,Fire Navy,Avatar: Generations(only appearance),N/A,N/A
Mangal,Northern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,He/him,N/A,N/A,Air,N/A,N/A,Northern Air Temple,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Maolo,Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Anri,Flying Koi performers",N/A,Water,Carnival performerArt forgerCriminal,Second-in-command of theFlying Koi Carnival,Flying Koi Carnival,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Maral,"Republic City,United Republic",Republicans,N/A,N/A,N/A,Blue,Brown,Light,She/her,N/A,N/A,N/A,BusinessmanDeveloper,Franchise owner ofBest Ramen,Best Ramen,Avatar Legends: The Roleplaying Game-Republic City(only appearance),N/A,N/A
Masaru (technologist),"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"Tao,Sarnai,Jing,Quartz",N/A,Earth,Thief,N/A,N/A,Adventure Booklet 1:Earth & Root(only appearance),N/A,N/A
Massak,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,N/A,N/A,Water,BoatwrightInventor,N/A,N/A,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Matangi,Air Nomads,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,She/her,Orphans under her care,Daofei,Air,Nun(formerly)Orphan matron,N/A,Eastern Air Temple(formerly),Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
May-Jim,Spirit World,Spirits,N/A,N/A,N/A,Blue(May)and yellow(Jim),Colorfull,Green,She/her,"Spirits,Iroh,radish lotus spirit,Korra",N/A,N/A,N/A,Spirit,Spirit World,"""A New Spiritual Age""(only appearance)",N/A,Janet Varney(May)Jeff Bennett(Jim)
Mechanist,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Brown,Tan,He/him,"Team Avatar,Hakoda, Earth Kingdom","Fire Nation,War MinisterQin",Earth,Inventor,N/A,Earth KingdomFire Nation(forced; formerly),"""The Northern Air Temple""",Avatar: The Last Airbender: Quest for Balance,René Auberjonois(inAvatar: The Last Airbender)Cory Yee(inQuest for Balance)
Meeka,"Republic City,United Republic",Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Erdene,Qacha,Thi,Dae,Bolin",N/A,Water,Soldier(formerly)Construction worker,N/A,United Forces(formerly),Movers & Shakers(only appearance),N/A,N/A
Meelo,"Republic City,United Republic","Mixed, includingAir NomadandWater Tribe",5,165AG,N/A,Steel blue,Dark brown,Light,He/him,"Air Acolytes,Team Avatar,Oogi,Lin Beifong,Order of the White Lotus,Poki,ring-tailed winged lemurs,Air Nation, Tuyen","Amon,Equalists,bison rustlers,Red Lotus,Earth Empire,Kuvira",Air,N/A,Airbender-in-trainingTeacher,Air NationAir Temple IslandTenzin's family,"""Welcome to Republic City""","""Cat-Owl's Cradle""",Logan Wells
Megomi,Jasmine Island,Jasmine Islander,N/A,N/A,N/A,Brown,Brown,Light,She/her,"Jasmine Island Council, Binna, Jing, Hakkun, Juni, Danbi, Min Jun",N/A,Fire,N/A,Leader of theJasmine Island protectors,N/A,Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Meilin,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Amber,Brown,Light,He/him,"Dandan, Fenfang, Peng,Suki",Fire Nation,Earth,N/A,Refugee,N/A,"Suki, Alone(only appearance)",N/A,N/A
Meng,"Makapu Village,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"AuntWu,Team Avatar,Makapu Village, more ...",Fire Nation,Earth,Assistant,N/A,Aunt Wu's Fortune SalonEarth Kingdom,"""The Fortuneteller""(only appearance)",N/A,Jessie Flower
Mengyao,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,N/A,Fanged Mercenaries,Earth,Daofei(formerly)Vigilante,N/A,N/A,Adventure Booklet 1:Earth & Root(only appearance),N/A,N/A
Merchant,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Zhao,Fire Nation",Aang,Earth,Merchant ofrelics,N/A,"Earth Kingdom, Zhao","""Relics""(only appearance)",N/A,N/A
Metalbender officer,"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"Metalbending Police Force,Team Avatar,Song,Tenzin","Amon,Hiroshi Sato,Lieutenant,Equalists",Earth,Police officer,N/A,Metalbending Police Force,"""The Aftermath""","""Out of the Past""",AJ Gentile
Metog,"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,Sonam,N/A,Earth,University lecturer(formerly),Leader of thePeace Lily Society,Peace Lily SocietyRepublic City University(formerly),Adventure Booklet:The Burning Fuse(only appearance),N/A,N/A
Michi,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,"Mura, Fire Nation","Yung,Omashu Resistance,Earth Kingdom",Fire,Florist,High classFire Nation citizen,Fire Nation,"""Return to Omashu""",Smoke and Shadow Part One,Grey DeLisle
Ming,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,She/her,"Fire Nation,Iroh",N/A,Fire,Prison guard,N/A,Fire Nation militaryDomestic Forces,"""The Day of Black Sun, Part 1: The Invasion""(only appearance)",N/A,Serena Williams
Ming (pro-bender),"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Gray,Black,Tan,He/him,"Tahno,Shaozu,White Falls Wolfbats fangirls","Fire Ferrets,Amon,Equalists,Naga",Earth,Pro-bender,Earthbender of theWhite Falls Wolfbats,The White Falls Wolfbats,"""The Spirit of Competition""","""The Last Stand""",Jeff Bennett
Ming-Hua,Water Tribe,Water Tribe,N/A,N/A,171AG,Dark gray,Black,Tan,She/her,"Red Lotus,Red Lotus sentries,Aiwei","Bumi,Desna and Eska,Team Avatar,Kya,Lin Beifong,Metal Clan,Metalbending Police Force,Order of the White Lotus,Sokka,Suyin Beifong,Tenzin,Tonraq,Zuko",Water,Criminal,Fugitive(formerly)Waterbending master,Red Lotus,"""Rebirth""","""Remembrances""(flashback only)",Grey DeLisle
Ming-Ming,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,She/her,"Sokka,Team Avatar, Fire Nation",N/A,Fire,N/A,N/A,Fire Nation,"""Monster Slayer""(only appearance)",N/A,N/A
Ming-Ming's grandmother,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,White,Light,She/her,"Fire Nation,Team Avatar",N/A,Fire,N/A,N/A,Fire Nation,"""Monster Slayer""(only appearance)",N/A,N/A
Mingxia,"Suki's village,Earth Kingdom",Kyoshi Islander,N/A,N/A,N/A,Dark blue,Brown,Light,She/her,"Kyoshi Warriors, Dandan, Fenfang, Peng",Fire Nation,Earth,Kyoshi Warrior(formerly),Refugee,Kyoshi Island(formerly),"Suki, Alone(only appearance)",N/A,N/A
Mingyur,Northern Air Temple,Air Nomad,22,N/A,N/A,Gray,Brown,Light,He/him,AvatarYangchen,Thapa,Air,Monk,N/A,Air Nomads,"""Making Ready""","""Appetite for Bitter""(flashback only)",N/A
Minh,"Ba Sing Se,Earth Kingdom",Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,She/her,"Rei, Si Nong, Kyung, Yuka, Haoran",N/A,Earth,Nun-in-training,N/A,N/A,Rebels & Refugees(only appearance),N/A,N/A
Mio,"Fire Nation Capital,Fire Nation",Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,"Fire LordSozin,Zianda",N/A,Fire,N/A,Bodyguard to the Fire Lord,N/A,An Urgent Request(only appearance),N/A,N/A
Mirai,"Yokoya,Earth Kingdom",Yokoyan,N/A,c. 312BG,N/A,Green,Black,Light,She/her,N/A,N/A,Earth,N/A,Daughter of Yokoya's greengrocer,Yokoya,"""The Test""(mentioned only)","""Honest Work""(mentioned only)",N/A
Mirlon,Jasmine Island,Water Tribe,N/A,N/A,N/A,Blue,Brown,Brown,He/him,"Fifth Nation,Erchtei",N/A,Water,Pirate[3][4]Soldier(formerly),Jasmine Island protector(formerly),Fifth NationJasmine Island protectors(formerly),Uncle Iroh's Adventure Guide(only appearance),N/A,N/A
Miyuki,Earth Kingdom,Earth Kingdom,28,72AG,N/A,Green,White,Tan,She/her,Herbalist,N/A,Earth,N/A,The herbalist's petcat,N/A,"""The Blue Spirit""","""Bato of the Water Tribe""",Dee Bradley Baker
Mok,Earth Kingdom,Earth Kingdom,24,Between 326—316 BG,N/A,Green,Black,Light,He/him,"Xu Ping An,Wai,Yellow Necks,Kang Shensect,Triad of the Golden Wing","Earth Kingdom,Kyoshi,Jianzhu,Flying Opera Company",Earth,"Daofei""uncle""",Second-in-command of theYellow NecksLeader of the Triad of the Golden Wing,Yellow NecksTriad of the Golden Wing,"""The Town""","""Unfinished Business""",N/A
Moku,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Black,Light,He/him,"Nomads,Team Avatar",N/A,Earth,Entertainer,Nomad,Trustfully in Love(formerly),"""The Cave of Two Lovers""",Toph Beifong's Metalbending Academy,Derek Basco
Momo,Southern Air Temple,Air Nomad,N/A,N/A,N/A,Light green,White and brown,Light,He/him,"Team Avatar,Bumi,pygmy pumas, more ...","Ozai,Azula,Zhao,Long Feng, theDai Li,Tom-Tom,buzzard wasp,Hawky,iguana parrot, beardedcat, more ...",Air,N/A,Aang's petlemur,Air NomadsTeam Avatar,"""The Southern Air Temple""",Avatar: The Last Airbender: My Cabbages!,Dee Bradley Baker
Mongke,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,"Rough Rhinos,Ozai,Mamushi,Loban,Lao Beifong, more ...","Team Avatar, Iroh,Zuko,Jet,Nalu, more ...",Fire,MercenarySoldier(formerly),"Colonel, leader of the Rough Rhinos",Fire Nation military(formerly)Rough Rhinos,"""Avatar Day""",Avatar: Generations,Malachi Throne
Morishita,"Yu Dao,Fire Nation colonies",Fire Nation,N/A,N/A,N/A,Brown,Brown,Light,He/him,Zuko,"Earth KingKuei,Earth Kingdom Army",Fire,Government official,Mayor of Yu Dao,Fire NationFire Nation coloniesYu Dao,The Promise Part One,The Search Part One,N/A
Mosi,Fire Nation colonies,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,She/her,"Dancing Nobleman Fleet, Kangana","Ningka,Azulon",Fire,PirateWorker(formerly),Leader of the Dancing Nobleman Fleet,Crimson Sails ArmadaDancing Nobleman Fleet,Adventure Booklet:The Pirates of Crimson Sails(only appearance),N/A,N/A
Mother of Faces,Spirit World,Spirits,N/A,N/A,N/A,White,Brown,White,She/her,"Wolf spirit,moth wasps",N/A,N/A,N/A,Ancient spirit,Spirit World,The Search Part Two,The Search Part Three,N/A
Mother Superior,Earth Kingdom,Earth Kingdom,N/A,N/A,N/A,Green,Gray,Tan,She/her,"The nuns in the abbey,Bato,Team Avatar, more ...","Fire Nation,June,Nyla,Zuko,Iroh",Earth,Nun,Head nun,Abbey,"""Bato of the Water Tribe""(only appearance)",N/A,Amy Hill
Mrs. Morishita,"Yu Dao,Fire Nation colonies",Earth Kingdom,N/A,N/A,N/A,Green,Brown,Light,She/her,"Zuko, Yu Dao",N/A,Fire,N/A,Wife ofmayorof Yu DaoYu Dao councilwoman,Yu DaoYu Dao coalition governmentFire Nation colonies,The Promise Part One,The Rift Part One,N/A
Mui,Earth Kingdom,Earth Kingdom,40,N/A,N/A,Green,Black,Light,She/her,"Kyoshi,Lee,Yun,Jianzhu,Hei-Ran,Kelsang,Rangi",N/A,Earth,ChefServant,Head of kitchen staff at the Avatar's estate(formerly),Avatar mansion,"""Honest Work""",Avatar: Generations,N/A
Mung,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,Fire Nation,"Jang Hui,Katara(as thePainted Lady)",Fire,Military official,GeneralFactoryoverseer,Fire Nation militaryDomestic Forces,"""The Painted Lady""(only appearance)",N/A,Daniel Riordan
Mura,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Gray,Light,She/her,N/A,N/A,Fire,Business ownerFlorist,Owner of a flower shop,Fire Nation,"""Rebound""",Smoke and Shadow Part Three,N/A
Mushi,"Republic City,United Republic",Earth Kingdom,N/A,N/A,N/A,Green,Black,Tan,He/him,"Triple Threat Triad,Hundun,dark spirits","Republic City Police,Korra,Lin Beifong,Agni Kai Triad,Red Monsoon Triad,Creeping Crystal Triad",Earth,Mobster,Triple Threat Triad member,Triple Threat Triad,"""Welcome to Republic City""",Turf Wars Part One,"J. K. Simmons(in ""Welcome to Republic City"")André Sogliuzzo(inThe Legend of Korravideo game)"
Naga,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Brown,White,Brown,She/her,"Team Avatar,Tenzinand his family,Lin,Tonraq,Senna,Katara, more ...","Amon,Equalists,Lieutenant,Hiroshi Sato,Tahno,Ming,Shaozu",Water,Animal actor(formerly),Korra's animal companion,Team AvatarSouthern Water Tribe,"""Welcome to Republic City""",Ruins of the Empire Part Three,Dee Bradley Baker
Nakul,Southern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Black,Brown,She/her,"Her fellow storytellers, Southern Water Tribe",N/A,Water,Storykeeper,N/A,Southern Water Tribe,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Nalu,Northern Water Tribe,Water Tribe,N/A,N/A,N/A,Blue,Brown,Brown,He/him,"Xinyi,Lana,Zimo,Xiao",Mongke,Water,Warrior,N/A,N/A,Adventure Booklet 3:Ash & Steel(only appearance),N/A,N/A
Namthöse,Northern Air Temple,Air Nomad,N/A,N/A,N/A,Gray,Brown,Light,He/him,N/A,N/A,Air,Monk,Airbending masterCouncil Elder,Northern Air TempleCouncil of Elders,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Naoki,"Penquan Island,Fire Nation",Fire Nation,N/A,N/A,160AG,Tangerine,Black,Light,She/her,Hai Jun,"Panzo,Agni Kai Triad",Fire,N/A,N/A,Fire NationUnited Republic of Nations,"""The Earth Queen""(photograph)",Mystery of Penquan Island(flashback only),N/A
Nergüi,Fire Nation,Fire Nation,N/A,N/A,N/A,Brown,Black,Light,He/him,N/A,N/A,Fire,Assassin,N/A,Fire Nation,Avatar Legends: The Roleplaying Game-Core Book(only appearance),N/A,N/A
Nianzhen,"Si Wong Desert,Earth Kingdom",Si Wong,N/A,N/A,N/A,Green,Dark brown,Brown,She/her,N/A,N/A,Earth,N/A,N/A,N/A,Avatar Legends: The Roleplaying Game Core Book,Adventure Booklet:The Burning Fuse,N/A
Ningka,Fire Nation,Fire Nation,N/A,N/A,N/A,Amber,Red,Light,She/her,Crimson Sails Armada,"Zuko, Fire Nation,AvatarAang,Kangana",Fire,Fire Warrior(formerly)Pirate,Firebending masterHigh Captain of the Crimson Sails ArmadaCaptain of thePyre Howler,Crimson Sails ArmadaFire Warriors(formerly)Pyre Howler,Smoke and Shadow Part Three,Adventure Booklet:The Pirates of Crimson Sails,N/A
